Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C3, C5, C6, C7, C8, C9",0402,10,0.1uF,C1525
C2,0805,1,15pF,C63339
C4,1210,1,100uF,C49066
"D1, D2, D3, D4",0805,4,LED,C84256
J1,PinHeader_1x06_P2.54mm_Vertical,1,I2S_CONN,
J2,PinHeader_1x01_P2.54mm_Vertical,1,SOUNDIN,
J3,PinSocket_2x06_P2.54mm_Vertical,1,Conn_02x06_Odd_Even,
J4,PinHeader_1x01_P2.54mm_Vertical,1,GND,
"Q1, Q2, Q3",MOSFET(SMD),3,NMOS,C458143
"R1, R13, R14, R15, R16, R17, R18, R2, R3, R4, R5, R6, R7, R8",0805,14,4.7k,C104350
"R10, R11, R12, R19, R21, R9",0805,6,3.3k,C26010
R20,0805,1,10k,C17414
"R24, R25, R26, R27",0805,4,470,C17710
"SW1, SW2",SlideSwitch,2,~,
U1,TangPrimer25K(UPPER),1,~,C597938
U2,MSX Cartridge_1,1,~,
U3,CLOCK,1,~,C387408
"U4, U5, U6, U7",SSOP-24_5.3x8.2mm_P0.65mm,4,~,C19197
U8,QSPI-SRAM 4Mbit (8SOIC),1,~,C27585175
U9,TangPrimer25K(LOWER),1,~,C597938
